id,selsovet_id,сельсовет,краткое_описание,место_название,тип,краткое_описание_места,широта,долгота,verification_status,source_url,notes
sight-05-02,selsovet-05,Шабагишский сельсовет,"Сельское поселение с административным центром в деревне Шабагиш; включает несколько деревень в центральной части района. Для интерактивной карты полезно отображать как административный центр, так и природные/поселенческие ориентиры.",Холодный Ключ,природный объект,Населённый пункт с природно-топонимической ценностью; координаты указаны как fallback по центру населённого пункта.,52.691667,55.510833,fallback_settlement_center,https://ru.wikipedia.org/wiki/Холодный_Ключ_(Куюргазинский_район),Координаты требуют дополнительной валидации перед продакшеном.
sight-06-01,selsovet-06,Зяк-Ишметовский сельсовет,"Зяк-Ишметовский сельсовет — муниципальное образование в Куюргазинском районе Башкортостана с административным центром в селе Зяк-Ишметово. Включает три населённых пункта: Зяк-Ишметово, Михайловку и Марьевку.",Зяк-Ишметово,населённый пункт,Административный центр сельсовета; координаты подтверждены по открытой странице населённого пункта.,52.870278,55.420278,exact,https://ru.wikipedia.org/wiki/Зяк-Ишметово,
sight-06-02,selsovet-06,Зяк-Ишметовский сельсовет,"Зяк-Ишметовский сельсовет — муниципальное образование в Куюргазинском районе Башкортостана с административным центром в селе Зяк-Ишметово. Включает три населённых пункта: Зяк-Ишметово, Михайловку и Марьевку.",Михайловка,памятное место,Деревня в составе Зяк-Ишметовского сельсовета; координаты указаны по центру деревни как опорная точка для будущих памятных мест.,52.884722,55.396667,fallback_settlement_center,https://ru.wikipedia.org/wiki/Михайловка_(Куюргазинский_район),Координаты требуют дополнительной валидации перед продакшеном.
sight-07-01,selsovet-07,Бахмутский сельсовет,"Сельское поселение с административным центром в селе Бахмут; включает 6 населённых пунктов. Расположено в восточной части района, поблизости от природных и сельских территорий.",Бахмут,населённый пункт,Административный центр Бахмутского сельсовета; координаты подтверждены по открытой странице населённого пункта.,52.654444,55.9075,exact,https://ru.wikipedia.org/wiki/Бахмут_(Башкортостан),
sight-07-02,selsovet-07,Бахмутский сельсовет,"Сельское поселение с административным центром в селе Бахмут; включает 6 населённых пунктов. Расположено в восточной части района, поблизости от природных и сельских территорий.",Горный Ключ,природный объект,Деревня с природно-топонимической привязкой; координаты указаны как fallback по центру населённого пункта.,52.638889,55.976389,fallback_settlement_center,https://ru.wikipedia.org/wiki/Горный_Ключ_(Куюргазинский_район),Координаты требуют дополнительной валидации перед продакшеном.
sight-08-01,selsovet-08,Свободинский сельсовет,"Сельское поселение с административным центром в селе Свобода; включает 4 населённых пункта. В его состав входят Кинья-Абыз и Тимербаево, переданные из упразднённого Абдуловского сельсовета.",Свобода,населённый пункт,Административный центр Свободинского сельсовета; координаты подтверждены по открытой странице населённого пункта.,52.751389,55.436667,exact,https://ru.wikipedia.org/wiki/Свобода_(Куюргазинский_район),
sight-08-02,selsovet-08,Свободинский сельсовет,"Сельское поселение с административным центром в селе Свобода; включает 4 населённых пункта. В его состав входят Кинья-Абыз и Тимербаево, переданные из упразднённого Абдуловского сельсовета.",Кинья-Абыз,музей / культурный объект,"Деревня, связанная с музеем Кинзи Арсланова; координаты указаны по центру деревни как fallback для объекта.",52.659444,55.429444,fallback_settlement_center,https://ru.wikipedia.org/wiki/Кинья-Абыз,Для музея нужна отдельная ручная проверка точки.
sight-08-03,selsovet-08,Свободинский сельсовет,"Сельское поселение с административным центром в селе Свобода; включает 4 населённых пункта. В его состав входят Кинья-Абыз и Тимербаево, переданные из упразднённого Абдуловского сельсовета.",Тимербаево,населённый пункт,Деревня в составе Свободинского сельсовета после преобразований; точка требует уточнения перед публикацией.,,,not_found,https://ru.wikipedia.org/wiki/Куюргазинский_район,Координаты не внесены в текущую выгрузку.
sight-09-01,selsovet-09,Отрадинский сельсовет,Сельское поселение с административным центром в селе Старая Отрада; включает 7 населённых пунктов. Территория лежит вдоль транспортной оси района и связана с историей старых поселений.,Старая Отрада,населённый пункт,Административный центр Отрадинского сельсовета; координаты подтверждены по открытой странице населённого пункта.,52.584444,55.8475,exact,https://ru.wikipedia.org/wiki/Старая_Отрада_(Башкортостан),
sight-09-02,selsovet-09,Отрадинский сельсовет,Сельское поселение с административным центром в селе Старая Отрада; включает 7 населённых пунктов. Территория лежит вдоль транспортной оси района и связана с историей старых поселений.,Новая Уралка,населённый пункт,Деревня в составе Отрадинского сельсовета; координаты указаны как опорная точка для карты.,52.591667,55.897222,fallback_settlement_center,https://ru.wikipedia.org/wiki/Новая_Уралка_(Куюргазинский_район),Координаты требуют дополнительной валидации перед продакшеном.
sight-10-01,selsovet-10,Ленинский сельсовет,Сельское поселение с административным центром в селе Бугульчан; включает 6 населённых пунктов. Территория представляет сельскую зону с небольшими деревнями и природными ландшафтами.,Бугульчан,населённый пункт,Административный центр Ленинского сельсовета; координаты указаны как опорная точка карточки.,52.82,55.66,fallback_settlement_center,https://ru.wikipedia.org/wiki/Бугульчан,Координаты требуют дополнительной валидации перед продакшеном.
sight-10-02,selsovet-10,Ленинский сельсовет,Сельское поселение с административным центром в селе Бугульчан; включает 6 населённых пунктов. Территория представляет сельскую зону с небольшими деревнями и природными ландшафтами.,Ковалёвка,населённый пункт,Деревня в составе Ленинского сельсовета; координаты указаны как fallback-точка.,52.78,55.62,fallback_settlement_center,https://ru.wikipedia.org/wiki/Ковалёвка_(Куюргазинский_район),Координаты требуют дополнительной валидации перед продакшеном.
sight-11-01,selsovet-11,Илькинеевский сельсовет,Сельское поселение с административным центром в деревне Илькинеево; включает 5 населённых пунктов. Для части точек нужны дополнительные полевые или картографические проверки координат.,Илькинеево,населённый пункт,Административный центр сельсовета; точные координаты в текущей выгрузке не зафиксированы.,,,not_found,https://ru.wikipedia.org/wiki/Илькинеево,Нужна ручная проверка в Яндекс/Google/OSM.
sight-11-02,selsovet-11,Илькинеевский сельсовет,Сельское поселение с административным центром в деревне Илькинеево; включает 5 населённых пунктов. Для части точек нужны дополнительные полевые или картографические проверки координат.,Новомусино,населённый пункт,Село в составе Илькинеевского сельсовета; координаты можно использовать как fallback внутри сельсовета.,52.736111,55.704444,fallback_settlement_center,https://ru.wikipedia.org/wiki/Новомусино_(Куюргазинский_район),Координаты требуют дополнительной валидации перед продакшеном.
sight-12-01,selsovet-12,Ермолаевский сельсовет,"Сельское поселение с административным центром в селе Ермолаево — районном центре Куюргазинского района. Здесь сосредоточены административные, культурные и общественные объекты района.",Ермолаево,административный и культурный центр,"Районный центр Куюргазинского района; рядом сосредоточены административные, культурные и общественные объекты.",52.716667,55.8,fallback_settlement_center,https://ru.wikipedia.org/wiki/Ермолаево_(Башкортостан),"Координаты относятся к селу Ермолаево, не к отдельным объектам."
sight-12-02,selsovet-12,Ермолаевский сельсовет,"Сельское поселение с административным центром в селе Ермолаево — районном центре Куюргазинского района. Здесь сосредоточены административные, культурные и общественные объекты района.",Айсуак,населённый пункт,Село в составе Ермолаевского сельсовета; координаты подтверждены по открытой странице населённого пункта.,52.688889,55.8,exact,https://ru.wikipedia.org/wiki/Айсуак,
